trait,model_1,model_2,n,r,p,ci_low,ci_high
Machiavellianism,GPT-5,GPT-OSS-120B,72,0.659352078067608,3.018192324904266e-10,0.5047909105110322,0.7729514208085809
Machiavellianism,GPT-5,Grok-4,73,0.8788081472210545,1.6416611130755445e-24,0.8131469928608674,0.9223833491547893
Machiavellianism,GPT-5,LLaMA-3,73,0.6704177358611952,8.698231612952643e-11,0.5206572487541139,0.7801532523831426
Machiavellianism,GPT-OSS-120B,Grok-4,72,0.5684421298398785,1.9013848003137995e-07,0.3878495446846208,0.7070050702646592
Machiavellianism,GPT-OSS-120B,LLaMA-3,72,0.5143798643106589,3.7995559287408076e-06,0.3209585372879775,0.6666112628008164
Machiavellianism,Grok-4,LLaMA-3,73,0.5925835664187982,3.331516345601137e-08,0.41974134223537424,0.7239515671558978
Narcissism,GPT-5,GPT-OSS-120B,73,0.7823576829966019,3.0053037255886895e-16,0.6735206977877124,0.85799096124224
Narcissism,GPT-5,Grok-4,73,0.8406943383601654,1.360710972648678e-20,0.7570535195981242,0.8972239224239268
Narcissism,GPT-5,LLaMA-3,73,0.4902134663894366,1.0711625290565035e-05,0.2932156606278735,0.6472792455131631
Narcissism,GPT-OSS-120B,Grok-4,73,0.8084184752894331,5.268793598632738e-18,0.7104969853425903,0.8756272770361403
Narcissism,GPT-OSS-120B,LLaMA-3,73,0.47091549355508616,2.615016721956949e-05,0.2701128490184206,0.6324605721700733
Narcissism,Grok-4,LLaMA-3,73,0.44010893117004574,9.770419736817608e-05,0.2337054174584943,0.6085569764441243
Psychopathy,GPT-5,GPT-OSS-120B,73,0.8221677189696853,4.822541945909143e-19,0.7302254193705746,0.8848602408087384
Psychopathy,GPT-5,Grok-4,73,0.8806574836222504,9.828632537278544e-25,0.8159001109085717,0.9235947873914466
Psychopathy,GPT-5,LLaMA-3,73,0.5105885911109831,3.92930223587301e-06,0.31786027353073254,0.6627972556171366
Psychopathy,GPT-OSS-120B,Grok-4,73,0.74950720021896,2.378039692618756e-14,0.6276742360253802,0.8355028115579285
Psychopathy,GPT-OSS-120B,LLaMA-3,73,0.5000980356738584,6.63820936474203e-06,0.3051388761054668,0.6548237811916419
Psychopathy,Grok-4,LLaMA-3,73,0.5002410108226532,6.591701399848899e-06,0.3053117888306193,0.6549326831978829
