trait,model,n,r_model_sd3,p,ci_low,ci_high
Machiavellianism,GPT-5,73,0.04675770479840061,0.694454113787953,-0.18530295359352844,0.2738787537067471
Machiavellianism,GPT-OSS-120B,72,-0.03772089696489313,0.7530785384443768,-0.2670557217001819,0.19565746063092332
Machiavellianism,Grok-4,73,0.11164467840578884,0.3470263714810218,-0.12154456655731914,0.3331546169189163
Machiavellianism,LLaMA-3,73,0.049246343552640494,0.679057279301982,-0.18289310735916384,0.27618445842116607
Narcissism,GPT-5,73,0.28834945890246966,0.013363672960562767,0.06242333156919558,0.4861646805450869
Narcissism,GPT-OSS-120B,73,0.20689962290320732,0.0790375525089925,-0.024325571663805258,0.41711202042512907
Narcissism,Grok-4,73,0.23889309398193634,0.04180580327058822,0.009339108124741981,0.44452842909048323
Narcissism,LLaMA-3,73,0.26958916533410826,0.021082840136113147,0.04213527135976266,0.4704758172633079
Psychopathy,GPT-5,73,0.4845406540238347,1.4003509435057679e-05,0.2864004221578138,0.6429354489250737
Psychopathy,GPT-OSS-120B,73,0.48314375987020575,1.4947869800208595e-05,0.28472528378139117,0.6418642507714823
Psychopathy,Grok-4,73,0.506747755603442,4.7705800947270665e-06,0.3131946091033075,0.6598819816352303
Psychopathy,LLaMA-3,73,0.14747334242956028,0.2131001434410136,-0.08549466523791871,0.3651514717974026
