model,trait,n,r_sd3_broad,r_sd3_specific,r_broad_specific,diff_broad_minus_specific,dependent_corr_test,williams_t,williams_df,williams_p,boot_diff_mean,boot_ci_low,boot_ci_high,boot_n
GPT-5,Machiavellianism,73,0.06897271210950191,-0.00717582001432015,0.0922909821079845,0.07614853212382207,Williams,0.4739381752316268,70,0.6370189507150796,0.07098309153209749,-0.25571495502712394,0.39887320254595066,2000
GPT-5,Narcissism,73,0.344941807993429,0.05513119129484037,0.13206373023847848,0.28981061669858865,Williams,1.9465622776458735,70,0.0556012713161611,0.28990140956816796,-0.019837864502137398,0.5761037797286018,2000
GPT-5,Psychopathy,73,0.3908561628544993,0.3938968656559855,0.30870764001658163,-0.0030407028014861615,Williams,-0.02431107649757975,70,0.9806736489905428,-0.0006915853625960282,-0.28083147528524094,0.2738812911861698,2000
GPT-OSS-120B,Machiavellianism,60,0.09989153802087411,-0.0443157408405953,-0.04714652364927701,0.14420727886146942,Williams,0.7565442906886815,57,0.45243864325076455,0.14766359160412834,-0.16494801072469562,0.43660175616938296,2000
GPT-OSS-120B,Narcissism,68,0.27651106758170924,0.0636183373219635,0.11236843381177337,0.21289273025974575,Williams,1.3340855404485121,65,0.186831241952125,0.20694310140020536,-0.08154307322506871,0.47705080825006946,2000
GPT-OSS-120B,Psychopathy,66,0.46068102985628034,0.21732479366720536,0.1364538381784162,0.24335623618907498,Williams,1.6432677555174864,63,0.1053097037774069,0.2436551467261324,-0.07784750920772673,0.561964956603369,2000
Grok-4,Machiavellianism,73,0.14163428340649875,0.013023901661534295,0.020095108987986474,0.12861038174496445,Williams,0.7754179088985235,70,0.4407045337362684,0.12834012479899962,-0.22155929130629629,0.4393032045537019,2000
Grok-4,Narcissism,73,0.2967271896424665,0.04607938277875025,0.21279096669796188,0.2506478068637163,Williams,1.7434440928041244,70,0.08564662582343849,0.2458027111665636,-0.05509621544928258,0.5239591545370409,2000
Grok-4,Psychopathy,73,0.45573356800748704,0.3150756292530668,0.1817326847654273,0.14065793875442023,Williams,1.043323506500309,70,0.30038830049597254,0.14165927823811347,-0.1905940867481363,0.4509231653024427,2000
LLaMA-3,Machiavellianism,73,0.15039615713764287,-0.10692057471118524,0.09312008107584475,0.2573167318488281,Williams,1.6291401735011553,70,0.10777582414544212,0.2501867985465265,-0.15703894167853275,0.6070606211349843,2000
LLaMA-3,Narcissism,73,0.3084085917490157,0.10294424220278245,0.19791518476430886,0.20546434954623324,Williams,1.4195916247982243,70,0.1601647206693881,0.20448501489672838,-0.05927874129125591,0.4622105775261983,2000
LLaMA-3,Psychopathy,73,0.20782541019077957,0.025365118812657562,0.17195515034074663,0.182460291378122,Williams,1.2103536774879722,70,0.23021436330859965,0.18420286880542794,-0.24272640706429835,0.5908661281153662,2000
MODEL_AVERAGE,Machiavellianism,73,0.12001861183064443,-0.032763761231039114,0.026085536709955434,0.15278237306168355,Williams,0.9227693138336669,70,0.35929720249937724,0.14820467672185383,-0.22078478626553366,0.48595722198118724,2000
MODEL_AVERAGE,Narcissism,73,0.3585849733927611,0.0789587200410474,0.23098261300651798,0.27962625335171365,Williams,2.008016370248429,70,0.04850201895857224,0.2774814585374933,0.01362861307141965,0.5264480841152339,2000
MODEL_AVERAGE,Psychopathy,73,0.4618742639452349,0.3264766024635555,0.27611980675394704,0.13539766148167942,Williams,1.069561127873291,70,0.2884912146840198,0.13505375115361465,-0.1776633369196666,0.41625935588275786,2000
