model,trait,outcome,predictor,n,intercept,slope,slope_se,slope_ci_low,slope_ci_high,t,p,r2
GPT-5,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0206484496205457,-0.14914334309437394,0.1079938194189811,-0.3644769030931694,0.0661902169044215,-1.3810359138771264,0.17159941862845143,0.02616008598192099
GPT-5,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9685723396745276,0.17462279560189792,0.07886929532673977,0.017361887258487196,0.33188370394530864,2.2140783035840563,0.03003584948871239,0.06458503749433453
GPT-5,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.7983068546792751,-0.048288556525910714,0.07339280482252182,-0.19462965294936652,0.09805253989754509,-0.6579467380035673,0.5127000336381857,0.006060148012408062
GPT-OSS-120B,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,72,1.0334918949474827,-0.2600122654598586,0.10986907054440423,-0.47913921718942487,-0.04088531373029236,-2.3665647135403147,0.02072517800225592,0.07408177221914125
GPT-OSS-120B,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9935893913642578,0.1394986781391282,0.0892700923969854,-0.03850083054280701,0.3174981868210634,1.5626586059615077,0.12257949739988834,0.03324943737821373
GPT-OSS-120B,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.7785637302521805,0.02354371019480754,0.0767819101377537,-0.12955507029488522,0.17664249068450033,0.30663095190739575,0.7600217447168338,0.0013225097878496461
Grok-4,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9548187991805888,-0.11740296988544457,0.10867875124938964,-0.3341022451649095,0.09929630539402035,-1.0802752933371043,0.28367554950480156,0.016170753875699773
Grok-4,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9631696756731086,0.09760616435576865,0.08976545026537452,-0.08138105986255119,0.2765933885740885,1.0873466803454395,0.28056119284136094,0.016379672436987347
Grok-4,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.8025682875694092,0.0021266733490103375,0.06852963338493105,-0.13451753463976507,0.13877088133778576,0.03103290130073818,0.975330371918007,1.3563773248792543e-05
LLaMA-3,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0311090364096105,-0.036085883120475226,0.10761517295107748,-0.25066444350583605,0.1784926772648856,-0.3353233761644382,0.7383699378605821,0.0015811827552113522
LLaMA-3,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9971168280441468,-0.01795857034805956,0.07982800825869911,-0.17713109798381843,0.1412139572876993,-0.22496578255918792,0.822652117085612,0.0007123035763526575
LLaMA-3,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0378299636035861,0.0044023907362958125,0.0929169933257711,-0.18086883186578168,0.1896736133383733,0.04737982341788477,0.9623435309925299,3.161657313666133e-05
MODEL_AVERAGE,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9867378916287372,-0.1694435718234344,0.11350842478514318,-0.3957729426183746,0.056885798971505835,-1.4927841007763893,0.13992427042934377,0.030430874339754777
MODEL_AVERAGE,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9435931828494174,0.15189692022017376,0.08364031288815665,-0.01487712694769916,0.3186709673880467,1.8160730749930294,0.07358090283998567,0.044390374224264506
MODEL_AVERAGE,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.78123421704788,-0.009772982263719745,0.07525674456857957,-0.15983066898189127,0.14028470445445176,-0.12986187908797825,0.897042916883986,0.00023746623921161447
