model,trait,outcome,predictor,n,intercept,slope,slope_se,slope_ci_low,slope_ci_high,t,p,r2
GPT-5,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0206484496205457,-0.14914334309437394,0.1079938194189811,-0.3644769030931694,0.0661902169044215,-1.3810359138771264,0.17159941862845143,0.02616008598192099
GPT-5,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9685723396745276,0.17462279560189792,0.07886929532673977,0.017361887258487196,0.33188370394530864,2.2140783035840563,0.03003584948871239,0.06458503749433453
GPT-5,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.7983068546792751,-0.048288556525910714,0.07339280482252182,-0.19462965294936652,0.09805253989754509,-0.6579467380035673,0.5127000336381857,0.006060148012408062
GPT-OSS-120B,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0617337089207757,-0.22321179899121463,0.12009014343546282,-0.4626647440379855,0.016241146055556294,-1.8587020766710136,0.06721424210756974,0.04640096600395316
GPT-OSS-120B,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9908952194512146,0.13946213143363442,0.09077016305766893,-0.04152843319347049,0.32045269606073934,1.5364314300617712,0.12887731464032862,0.03217831978178687
GPT-OSS-120B,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.7785637302521805,0.02354371019480754,0.0767819101377537,-0.12955507029488522,0.17664249068450033,0.30663095190739575,0.7600217447168338,0.0013225097878496461
Grok-4,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9548187991805888,-0.11740296988544457,0.10867875124938964,-0.3341022451649095,0.09929630539402035,-1.0802752933371043,0.28367554950480156,0.016170753875699773
Grok-4,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9631696756731086,0.09760616435576865,0.08976545026537452,-0.08138105986255119,0.2765933885740885,1.0873466803454395,0.28056119284136094,0.016379672436987347
Grok-4,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.8025682875694092,0.0021266733490103375,0.06852963338493105,-0.13451753463976507,0.13877088133778576,0.03103290130073818,0.975330371918007,1.3563773248792543e-05
LLaMA-3,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0311090364096105,-0.036085883120475226,0.10761517295107748,-0.25066444350583605,0.1784926772648856,-0.3353233761644382,0.7383699378605821,0.0015811827552113522
LLaMA-3,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9971168280441468,-0.01795857034805956,0.07982800825869911,-0.17713109798381843,0.1412139572876993,-0.22496578255918792,0.822652117085612,0.0007123035763526575
LLaMA-3,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0378299636035861,0.0044023907362958125,0.0929169933257711,-0.18086883186578168,0.1896736133383733,0.04737982341788477,0.9623435309925299,3.161657313666133e-05
MODEL_AVERAGE,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9899864119319425,-0.16809538072719607,0.11436590253831605,-0.3961345136011505,0.059943752146758345,-1.4698032979792994,0.14603258536480004,0.029528598064169964
MODEL_AVERAGE,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9426127196523709,0.15188981362765694,0.08420472399376214,-0.01600963732097646,0.3197892645762903,1.8038158243818827,0.07550215999643335,0.0438193554038927
MODEL_AVERAGE,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.78123421704788,-0.009772982263719745,0.07525674456857957,-0.15983066898189127,0.14028470445445176,-0.12986187908797825,0.897042916883986,0.00023746623921161447
