metric,value
participants_in_scores,73.0
participants_in_llm,73.0
essays_in_llm,438.0
llm_rows_total,7008.0
llm_rows_parse_success,6600.0
llm_rows_parse_failure,408.0
llm_rows_partial_trait_ratings_present_but_not_complete,68.0
llm_trait_cells_available_total,19897.0
parse_success_rate_GPT-5,1.0
rows_GPT-5,1752.0
partial_failed_rows_GPT-5,0.0
trait_cells_available_GPT-5,5256.0
parse_success_rate_GPT-OSS-120B,0.7676940639269406
rows_GPT-OSS-120B,1752.0
partial_failed_rows_GPT-OSS-120B,68.0
trait_cells_available_GPT-OSS-120B,4132.0
parse_success_rate_Grok-4,0.9994292237442922
rows_Grok-4,1752.0
partial_failed_rows_Grok-4,0.0
trait_cells_available_Grok-4,5253.0
parse_success_rate_LLaMA-3,1.0
rows_LLaMA-3,1752.0
partial_failed_rows_LLaMA-3,0.0
trait_cells_available_LLaMA-3,5256.0
