trait,model,n,r_model_sd3,p,ci_low,ci_high
Machiavellianism,GPT-5,73,0.04675770479840058,0.6944541137879504,-0.18530295359352844,0.2738787537067471
Machiavellianism,GPT-OSS-120B,72,-0.03772089696489315,0.7530785384443802,-0.2670557217001819,0.1956574606309233
Machiavellianism,Grok-4,73,0.1116446784057888,0.34702637148102333,-0.12154456655731917,0.3331546169189163
Machiavellianism,LLaMA-3,73,0.049246343552640494,0.6790572793019813,-0.18289310735916384,0.27618445842116607
Narcissism,GPT-5,73,0.2883494589024697,0.013363672960562683,0.062423331569195634,0.486164680545087
Narcissism,GPT-OSS-120B,73,0.2068996229032073,0.07903755250899237,-0.024325571663805286,0.41711202042512907
Narcissism,Grok-4,73,0.23889309398193634,0.041805803270588214,0.009339108124741981,0.44452842909048323
Narcissism,LLaMA-3,73,0.26958916533410826,0.021082840136113126,0.04213527135976266,0.47047581726330795
Psychopathy,GPT-5,73,0.4845406540238347,1.400350943505756e-05,0.2864004221578138,0.6429354489250737
Psychopathy,GPT-OSS-120B,73,0.48314375987020564,1.494786980020863e-05,0.28472528378139095,0.6418642507714822
Psychopathy,Grok-4,73,0.506747755603442,4.770580094727025e-06,0.3131946091033075,0.6598819816352303
Psychopathy,LLaMA-3,73,0.14747334242956028,0.2131001434410137,-0.08549466523791871,0.3651514717974026
