model,trait,n,r_mcsds_sd3,r_mcsds_llm,r_sd3_llm,diff_mcsds_sd3_minus_mcsds_llm,dependent_corr_test,williams_t,williams_df,williams_p,boot_diff_mean,boot_ci_low,boot_ci_high,boot_n
GPT-5,Machiavellianism,73,-0.4892754944547958,-0.032929929254371784,0.04675770479840058,-0.456345565200424,Williams,-3.1125155601097805,70,0.002685696764729572,-0.4555198246127117,-0.7517840408648646,-0.18186931667411982,2000
GPT-5,Narcissism,73,0.01390805890266806,0.08972679938542963,0.2883494589024697,-0.07581874048276158,Williams,-0.5337702643598309,70,0.5951914722646117,-0.07730255566564569,-0.33671305812188473,0.18854228356986688,2000
GPT-5,Psychopathy,73,-0.4676928038825293,-0.07665769943300774,0.4845406540238347,-0.3910351044495216,Williams,-3.70020571437611,70,0.0004253747598961529,-0.3849572792847365,-0.5939898256178778,-0.17504049085905982,2000
GPT-OSS-120B,Machiavellianism,72,-0.4942061800663111,-0.08026967585084271,-0.03772089696489315,-0.4139365042154684,Williams,-2.6838739822529587,69,0.009103466948674515,-0.4148364833077112,-0.7088406446508785,-0.13300549260787253,2000
GPT-OSS-120B,Narcissism,73,0.01390805890266806,0.2567185149984003,0.2068996229032073,-0.24281045609573226,Williams,-1.6662408254758503,70,0.10013455873951997,-0.24369038383955563,-0.5160394865778115,0.024871751205011887,2000
GPT-OSS-120B,Psychopathy,73,-0.4676928038825293,-0.00569718417759266,0.48314375987020564,-0.46199561970493663,Williams,-4.471513016539835,70,2.92625961412463e-05,-0.45592619848245763,-0.6647850870729589,-0.2488252876129631,2000
Grok-4,Machiavellianism,73,-0.4892754944547958,-0.05494695799500594,0.1116446784057888,-0.43432853645978986,Williams,-3.0747017830514665,70,0.0030037622883764,-0.43220474401653075,-0.7294666211334779,-0.15581483987394876,2000
Grok-4,Narcissism,73,0.01390805890266806,0.1175462469817479,0.23889309398193634,-0.10363818807907985,Williams,-0.7074292848190527,70,0.48164840437393,-0.107145160363441,-0.37208962522365596,0.15349887390489236,2000
Grok-4,Psychopathy,73,-0.4676928038825293,-0.06628299066269176,0.506747755603442,-0.40140981321983754,Williams,-3.9105715435374386,70,0.00021053629877612953,-0.3923888824193168,-0.5762459903537541,-0.20172102658250027,2000
LLaMA-3,Machiavellianism,73,-0.4892754944547958,-0.04800284351067539,0.049246343552640494,-0.4412726509441204,Williams,-3.0117731430634898,70,0.003611939031843209,-0.4376680022803322,-0.6994248231958674,-0.1866048287604016,2000
LLaMA-3,Narcissism,73,0.01390805890266806,0.03413053027973923,0.26958916533410826,-0.02022247137707117,Williams,-0.1400610324020851,70,0.889014000291128,-0.02107423216048972,-0.28472364003143263,0.24517754382894977,2000
LLaMA-3,Psychopathy,73,-0.4676928038825293,0.14470660383338654,0.14747334242956028,-0.6123994077159158,Williams,-4.553355446205022,70,2.170627674033942e-05,-0.6058632440375338,-0.8596523694931523,-0.35298022860483896,2000
MODEL_AVERAGE,Machiavellianism,73,-0.4892754944547958,-0.06072154156827682,0.0346693660369694,-0.428553952886519,Williams,-2.8999689237162656,70,0.004982475645465767,-0.42608415511222214,-0.7203605906104297,-0.15070778393882073,2000
MODEL_AVERAGE,Narcissism,73,0.01390805890266806,0.14820235990940153,0.2887490848139572,-0.13429430100673348,Williams,-0.9524156514506678,70,0.3441634178963483,-0.1362640587701489,-0.3896546673718202,0.11007402769646751,2000
MODEL_AVERAGE,Psychopathy,73,-0.4676928038825293,-0.021556000507227273,0.4894934072938839,-0.44613680337530204,Williams,-4.324145682612308,70,4.9778685807947436e-05,-0.4367201639466301,-0.6367620800995369,-0.23775379235089764,2000
