model,llm_trait,sd3_trait,match_type,n,r,p,ci_low,ci_high,criterion_reliability,r_disattenuated_for_criterion,disattenuated_ci_low,disattenuated_ci_high
GPT-5,Machiavellianism,Machiavellianism,convergent,73,0.04675770479840058,0.6944541137879504,-0.18530295359352844,0.2738787537067471,,,,
GPT-5,Machiavellianism,Narcissism,discriminant,73,-0.11841595843185768,0.318376358248911,-0.33924107478941706,0.11477829693490635,,,,
GPT-5,Machiavellianism,Psychopathy,discriminant,73,0.10358180925880563,0.38316614061447013,-0.12957330129759617,0.32588303780638617,,,,
GPT-5,Narcissism,Machiavellianism,discriminant,73,0.10237369358909891,0.38876902863051405,-0.1307736745377536,0.3247912161347836,,,,
GPT-5,Narcissism,Narcissism,convergent,73,0.2883494589024697,0.013363672960562683,0.062423331569195634,0.486164680545087,,,,
GPT-5,Narcissism,Psychopathy,discriminant,73,0.12162838529950151,0.3053306960646947,-0.11156066159583068,0.34212215680963776,,,,
GPT-5,Psychopathy,Machiavellianism,discriminant,73,0.21221379236809354,0.07147450292509429,-0.018769895784138516,0.4216925829876244,,,,
GPT-5,Psychopathy,Narcissism,discriminant,73,0.17074860558074484,0.14864695314694507,-0.061744210504380975,0.38566552664910614,,,,
GPT-5,Psychopathy,Psychopathy,convergent,73,0.4845406540238347,1.400350943505756e-05,0.2864004221578138,0.6429354489250737,,,,
GPT-OSS-120B,Machiavellianism,Machiavellianism,convergent,73,-0.10834762117022537,0.361539964661359,-0.33018431390828645,0.12483135740342341,,,,
GPT-OSS-120B,Machiavellianism,Narcissism,discriminant,73,-0.08931394935399432,0.4523930882339191,-0.3129506485704667,0.14370623465497495,,,,
GPT-OSS-120B,Machiavellianism,Psychopathy,discriminant,73,0.035865390638281355,0.7632299844106257,-0.19581766668483314,0.26375629512299864,,,,
GPT-OSS-120B,Narcissism,Machiavellianism,discriminant,73,0.04270092864574213,0.7198168607813796,-0.1892253142833166,0.27011457680559325,,,,
GPT-OSS-120B,Narcissism,Narcissism,convergent,73,0.20002752534569096,0.08974725030318288,-0.03148886253121261,0.41117272095054436,,,,
GPT-OSS-120B,Narcissism,Psychopathy,discriminant,73,0.10198159265774592,0.3905979176364521,-0.13116311574293668,0.3244367316250002,,,,
GPT-OSS-120B,Psychopathy,Machiavellianism,discriminant,73,0.2328346782448291,0.04744113248053315,0.0029240347935856276,0.4393661475293728,,,,
GPT-OSS-120B,Psychopathy,Narcissism,discriminant,73,0.16413305360695213,0.16526512072156768,-0.06852171619149364,0.37985633088915977,,,,
GPT-OSS-120B,Psychopathy,Psychopathy,convergent,73,0.48314375987020564,1.494786980020863e-05,0.28472528378139095,0.6418642507714822,,,,
Grok-4,Machiavellianism,Machiavellianism,convergent,73,0.1116446784057888,0.34702637148102333,-0.12154456655731917,0.3331546169189163,,,,
Grok-4,Machiavellianism,Narcissism,discriminant,73,-0.1184886932430843,0.3180770865921021,-0.3393063532591288,0.11470549829426555,,,,
Grok-4,Machiavellianism,Psychopathy,discriminant,73,0.18122772517998992,0.12492600221017051,-0.05096449456444708,0.3948326260021963,,,,
Grok-4,Narcissism,Machiavellianism,discriminant,73,0.1523440503908859,0.1982032165063727,-0.08054632554532826,0.3694619160784668,,,,
Grok-4,Narcissism,Narcissism,convergent,73,0.23889309398193634,0.041805803270588214,0.009339108124741981,0.44452842909048323,,,,
Grok-4,Narcissism,Psychopathy,discriminant,73,0.09817778749693316,0.4086042543291426,-0.13493738732775445,0.3209946002658362,,,,
Grok-4,Psychopathy,Machiavellianism,discriminant,73,0.30774178354545456,0.008083207616104432,0.08359300076060475,0.5022491600587302,,,,
Grok-4,Psychopathy,Narcissism,discriminant,73,0.29403500489969775,0.011571168581682506,0.06860897637667437,0.4908943434542346,,,,
Grok-4,Psychopathy,Psychopathy,convergent,73,0.506747755603442,4.770580094727025e-06,0.3131946091033075,0.6598819816352303,,,,
LLaMA-3,Machiavellianism,Machiavellianism,convergent,73,0.049246343552640494,0.6790572793019813,-0.18289310735916384,0.27618445842116607,,,,
LLaMA-3,Machiavellianism,Narcissism,discriminant,73,-0.028269244380919524,0.8123378381409895,-0.256667202120178,0.20311908431900558,,,,
LLaMA-3,Machiavellianism,Psychopathy,discriminant,73,0.14615353518911295,0.21726951445907947,-0.08683353209029279,0.3639818688475433,,,,
LLaMA-3,Narcissism,Machiavellianism,discriminant,73,-0.1006060812181228,0.3970540972110587,-0.3231926863685831,0.13252872796932844,,,,
LLaMA-3,Narcissism,Narcissism,convergent,73,0.26958916533410826,0.021082840136113126,0.04213527135976266,0.47047581726330795,,,,
LLaMA-3,Narcissism,Psychopathy,discriminant,73,-0.015256212868317208,0.8980644830705184,-0.24446542722898437,0.21556769722025468,,,,
LLaMA-3,Psychopathy,Machiavellianism,discriminant,73,0.12950629943314312,0.27482836662706744,-0.10364922302016377,0.3491699999281067,,,,
